"emp_no","first_name","last_name","hire_date"
295537,"Shmuel","Aamodt","1986-05-27"
411560,"Basant","Aamodt","1986-12-25"
291658,"Arvind","Aamodt","1986-11-20"
36585,"Menkae","Aamodt","1986-02-07"
36577,"Mahmut","Aamodt","1986-04-10"
218417,"Moto","Aamodt","1986-05-29"
242185,"Kazuhito","Aamodt","1986-12-02"
260324,"Salvador","Aamodt","1986-03-16"
103125,"Huican","Aamodt","1986-12-12"
450068,"Danco","Aamodt","1986-10-10"
280448,"Theron","Aamodt","1986-03-16"
468219,"Qingxiang","Aamodt","1986-03-05"
70441,"Luise","Aamodt","1986-07-27"
417540,"Marek","Aamodt","1986-01-31"
275120,"Jaideep","Aamodt","1986-07-16"
271789,"Valeri","Aamodt","1986-07-28"
294575,"Parke","Aamodt","1986-11-04"
234739,"Foong","Aamodt","1986-06-28"
461318,"Fatemeh","Aamodt","1986-05-07"
51897,"Rajmohan","Aamodt","1986-05-22"
492546,"Elzbieta","Aamodt","1986-04-29"
293563,"Dietrich","Aamodt","1986-12-07"
251782,"Somnath","Aamodt","1986-01-15"
276963,"Maik","Aamodt","1986-06-20"
29182,"Arumugam","Aamodt","1986-01-09"
41503,"Van","Acton","1986-08-06"
67813,"Volkmar","Acton","1986-10-17"
248027,"Margo","Acton","1986-07-25"
40908,"Hidde","Acton","1986-08-10"
221751,"Piyawadee","Acton","1986-01-13"
56856,"Ulises","Acton","1986-01-14"
32537,"Kensei","Acton","1986-05-20"
26736,"Shaz","Acton","1986-10-27"
228262,"Shaz","Acton","1986-08-10"
285261,"Pragnesh","Acton","1986-11-04"
427792,"Huiqun","Acton","1986-07-25"
442462,"Rance","Acton","1986-12-21"
236978,"Honesty","Acton","1986-12-22"
15229,"Xiahua","Acton","1986-07-07"
221397,"Tremaine","Acton","1986-06-06"
42532,"Jixiang","Acton","1986-04-24"
423543,"Oldrich","Acton","1986-01-14"
223594,"Janalee","Acton","1986-12-28"
421304,"Kwee","Acton","1986-07-03"
490588,"Hairong","Acton","1986-05-15"
481166,"Behnaam","Acton","1986-01-16"
88629,"Mayuko","Acton","1986-12-01"
297135,"Bezalel","Acton","1986-05-21"
284152,"Katsuyuki","Acton","1986-12-25"
428705,"Tommaso","Adachi","1986-01-16"
80752,"Zhenhua","Adachi","1986-07-01"
241262,"Radhia","Adachi","1986-12-19"
76327,"Billur","Adachi","1986-09-21"
83483,"Masoud","Adachi","1986-08-05"
470859,"Serif","Adachi","1986-02-17"
419194,"Houman","Adachi","1986-05-04"
244018,"Zhaofang","Adachi","1986-11-09"
98293,"Jayesh","Adachi","1986-12-05"
264668,"Yannik","Adachi","1986-01-10"
435487,"Berhard","Adachi","1986-04-14"
221328,"Kerhong","Adachi","1986-02-20"
85642,"Breannda","Adachi","1986-04-29"
242972,"Richard","Adachi","1986-07-29"
492666,"Giao","Adachi","1986-11-04"
47600,"Lucien","Adachi","1986-09-25"
224495,"Marlo","Adachi","1986-05-24"
222482,"Changho","Adachi","1986-09-09"
496564,"Guoxiang","Adachi","1986-05-26"
225760,"Subhrajyoti","Adachi","1986-03-26"
287434,"Yongmin","Adachi","1986-04-30"
407559,"Hironoby","Adachi","1986-12-21"
462289,"Kenroku","Adachi","1986-06-18"
211655,"Giap","Aingworth","1986-08-08"
206814,"Lene","Aingworth","1986-08-31"
215080,"Kenton","Aingworth","1986-03-31"
38178,"Lech","Aingworth","1986-08-16"
107721,"Wanqing","Aingworth","1986-11-28"
40773,"Shimshon","Aingworth","1986-04-13"
36820,"Navin","Aingworth","1986-05-19"
70519,"Mohammad","Aingworth","1986-02-18"
11927,"Mana","Aingworth","1986-04-26"
480891,"Phillip","Aingworth","1986-01-20"
28976,"Kazuhiko","Aingworth","1986-12-26"
267330,"Erzsebet","Aingworth","1986-02-20"
274470,"Jiang","Aingworth","1986-07-12"
58207,"Collette","Aingworth","1986-07-01"
279517,"Guiseppe","Aingworth","1986-07-16"
266510,"Roded","Aingworth","1986-11-21"
282119,"Foong","Aingworth","1986-03-19"
212162,"Kiyokazu","Aingworth","1986-01-28"
108548,"Sajjad","Aingworth","1986-10-31"
285694,"Wilmer","Aingworth","1986-05-21"
262552,"Parviz","Akaboshi","1986-09-22"
81541,"Nobuyoshi","Akaboshi","1986-06-01"
207021,"Jacqueline","Akaboshi","1986-07-27"
477364,"TRUE","Akaboshi","1986-12-23"
290528,"Mayuko","Akaboshi","1986-04-27"
212346,"Arve","Akaboshi","1986-01-31"
226896,"Yurij","Akaboshi","1986-08-16"
496318,"Takahiro","Akaboshi","1986-04-10"
87068,"Peternela","Akaboshi","1986-01-10"
203253,"Paris","Akaboshi","1986-04-07"
232249,"Hinrich","Akaboshi","1986-04-02"
402991,"Mingsen","Akaboshi","1986-03-14"
71950,"Bernice","Akaboshi","1986-12-30"
423907,"Sanjit","Akaboshi","1986-08-20"
251804,"Shir","Akaboshi","1986-09-14"
83444,"Yongmao","Akaboshi","1986-01-19"
77700,"Lidong","Akaboshi","1986-07-26"
54045,"Udaiprakash","Akaboshi","1986-02-11"
471296,"Akeel","Akaboshi","1986-07-06"
405700,"Fen","Akaboshi","1986-03-08"
68769,"Gill","Akaboshi","1986-01-29"
486595,"Mooi","Akaboshi","1986-05-31"
444216,"Shuichi","Akaboshi","1986-11-04"
