"dept_no","dept_name","emp_no","last_name","first_name","title"
"d001","Marketing",110022,"Markovitch","Margareta","Manager"
"d004","Production",110344,"Cools","Rosine","Manager"
"d004","Production",110386,"Kieras","Shem","Manager"
"d004","Production",110420,"Ghazalie","Oscar","Manager"
"d005","Development",110511,"Hagimont","DeForest","Manager"
"d005","Development",110567,"DasSarma","Leon","Manager"
"d006","Quality Management",110725,"Onuegbe","Peternela","Manager"
"d006","Quality Management",110765,"Hofmeyr","Rutger","Manager"
"d006","Quality Management",110800,"Quadeer","Sanjoy","Manager"
"d006","Quality Management",110854,"Pesch","Dung","Manager"
"d007","Sales",111035,"Kaelbling","Przemyslawa","Manager"
"d007","Sales",111133,"Zhang","Hauke","Manager"
"d001","Marketing",110039,"Minakawa","Vishwani","Manager"
"d008","Research",111400,"Staelin","Arie","Manager"
"d008","Research",111534,"Kambil","Hilary","Manager"
"d002","Finance",110085,"Alpin","Ebru","Manager"
"d009","Customer Service",111692,"Butterworth","Tonny","Manager"
"d009","Customer Service",111784,"Giarratana","Marjo","Manager"
"d009","Customer Service",111877,"Spinelli","Xiaobin","Manager"
"d009","Customer Service",111939,"Weedman","Yuchang","Manager"
"d002","Finance",110114,"Legleitner","Isamu","Manager"
"d003","Human Resources",110183,"Ossenbruggen","Shirish","Manager"
"d003","Human Resources",110228,"Sigstam","Karsten","Manager"
"d004","Production",110303,"Wegerle","Krassimir","Manager"
